Player,Score,Date
Chrisslabbert20,9580,4/4/2016
Lord Shabz,7050,4/4/2016
The MsssA,6460,4/4/2016
Blaizemeister,6220,4/4/2016
viver21,5860,4/4/2016
LoganManoj,4390,4/4/2016
Jannel1984,3700,4/4/2016
jct22,3340,4/4/2016
Czakobmx,3340,4/4/2016
helanie23,3060,4/4/2016
RoyalC,2690,4/4/2016
akash_512,2680,4/4/2016
Caesar Royale,2520,4/4/2016
M-Adel,2480,4/4/2016
Blood Bullet,1300,4/4/2016
Tiny3001,1240,4/4/2016
Sarelo,1100,4/4/2016
123Fu2,790,4/4/2016
league of galax,740,4/4/2016
mumblebumble,560,4/4/2016
Abdallah222,180,4/4/2016
worm1112,180,4/4/2016
Zizzou22,120,4/4/2016
The_Jachal,0,4/4/2016
chintu007,0,4/4/2016
Chillingss,0,4/4/2016
The_Jachal,22860,14/4/2016
Jannel1984,13000,14/4/2016
Blaizemeister,8720,14/4/2016
Czakobmx,8540,14/4/2016
LoganManoj,7680,14/4/2016
mumblebumble,5660,14/4/2016
akash_512,4820,14/4/2016
Chrisslabbert20,4360,14/4/2016
Sarelo,4060,14/4/2016
Jayw974,3920,14/4/2016
Tiny3001,3620,14/4/2016
viver21,2880,14/4/2016
Lord Shabz,2360,14/4/2016
RoyalC,1900,14/4/2016
jct22,1840,14/4/2016
worm1112,1200,14/4/2016
The MsssA,1200,14/4/2016
DojoBreaker,1020,14/4/2016
Abdallah222,800,14/4/2016
M-Adel,600,14/4/2016
123Fu2,560,14/4/2016
Zativity,540,14/4/2016
sibani.lee,360,14/4/2016
Zizzou22,340,14/4/2016
Blood Bullet,120,14/4/2016
Rusty Judas,0,14/4/2016
Dead is the Ben,0,14/4/2016
league of galax,0,14/4/2016
Chillingss,0,14/4/2016
Caesar Royale,0,14/4/2016
