Player,Score,Date,Class
Viver21,72000,13/3/2016,Mutant
The MsssA,64800,13/3/2016,Mutant
Blaizemeister,51100,13/3/2016,Mutant
jct22,49000,13/3/2016,Mutant
Lord ShabZ,40500,13/3/2016,Mutant
M-Adel,37900,13/3/2016,Mutant
RoyalC,33000,13/3/2016,Mutant
mumblebumble,27300,13/3/2016,Mutant
akash_512,27000,13/3/2016,Mutant
worm1112,21000,13/3/2016,Mutant
LoganManoj,18000,13/3/2016,Mutant
Mouadh05,16700,13/3/2016,Mutant
Jannel1984,15500,13/3/2016,Mutant
Chrisslabbert20,11500,13/3/2016,Mutant
Boody.ZX,7000,13/3/2016,Mutant
Blood Bullet,6400,13/3/2016,Mutant
Tiny3001,5200,13/3/2016,Mutant
Denise1,5000,13/3/2016,Mutant
Chillingss,4700,13/3/2016,Mutant
sadud,3000,13/3/2016,Mutant
league of galax,1500,13/3/2016,Mutant
The_Jachal,1500,13/3/2016,Mutant
Sarelo,1500,13/3/2016,Mutant
Czakobmx,1000,13/3/2016,Mutant
Abdallah222,1000,13/3/2016,Mutant
Oungbuck,1000,13/3/2016,Mutant
helanie23,1000,13/3/2016,Mutant
Mud ex,0,13/3/2016,Mutant
123Fu2,0,13/3/2016,Mutant
Caesar Royale,0,13/3/2016,Mutant
jct22,34600,29/3/2016,Mystic
Chrisslabbert20,34500,29/3/2016,Mystic
LoganManoj,32100,29/3/2016,Mystic
Blaizemeister,32000,29/3/2016,Mystic
viver21,26000,29/3/2016,Mystic
Lord ShabZ,22900,29/3/2016,Mystic
akash_512,21000,29/3/2016,Mystic
worm1112,18000,29/3/2016,Mystic
The_Jachal,15000,29/3/2016,Mystic
helanie23,14500,29/3/2016,Mystic
Chillingss,10000,29/3/2016,Mystic
Jannel1984,9000,29/3/2016,Mystic
Mud ex,7200,29/3/2016,Mystic
chintu007,6000,29/3/2016,Mystic
mumblebumble,5100,29/3/2016,Mystic
M-Adel,4500,29/3/2016,Mystic
The MsssA,3600,29/3/2016,Mystic
Caesar Royale,3000,29/3/2016,Mystic
Tiny3001,3000,29/3/2016,Mystic
Sarelo,3000,29/3/2016,Mystic
Blood Bullet,3000,29/3/2016,Mystic
hellboy creed,2400,29/3/2016,Mystic
Abdallah222,2000,29/3/2016,Mystic
123Fu2,1500,29/3/2016,Mystic
Czakobmx,1500,29/3/2016,Mystic
Denise1,1000,29/3/2016,Mystic
RoyalC,600,29/3/2016,Mystic
THE CLOWN 44,0,29/3/2016,Mystic
Zizzou22,0,29/3/2016,Mystic
Viver21,27000,5/4/2016,Skill
The_Jachal,26500,5/4/2016,Skill
The MsssA,24000,5/4/2016,Skill
LoganManoj,21000,5/4/2016,Skill
Blaizemeister,21000,5/4/2016,Skill
Jannel1984,19000,5/4/2016,Skill
jct22,19000,5/4/2016,Skill
mumblebumble,16500,5/4/2016,Skill
Caesar Royale,15000,5/4/2016,Skill
Chrisslabbert20,14500,5/4/2016,Skill
akash_512,13500,5/4/2016,Skill
Abdallah222,12000,5/4/2016,Skill
RoyalC,11000,5/4/2016,Skill
Czakobmx,9000,5/4/2016,Skill
worm1112,7000,5/4/2016,Skill
Tiny3001,6000,5/4/2016,Skill
Sarelo,4500,5/4/2016,Skill
Zizzou22,3000,5/4/2016,Skill
chintu007,3000,5/4/2016,Skill
league of galax,3000,5/4/2016,Skill
M-Adel,3000,5/4/2016,Skill
Lord ShabZ,2500,5/4/2016,Skill
helanie23,1500,5/4/2016,Skill
123Fu2,1500,5/4/2016,Skill
Blood Bullet,0,5/4/2016,Skill
Chillingss,0,5/4/2016,Skill
