Player,Score,Date
123Fu2,800,7/4/2016
Abdallah222,1250,7/4/2016
akash_512,14800,7/4/2016
Blaizemeister,8400,7/4/2016
Blood Bullet,1350,7/4/2016
Caesar Royale,7700,7/4/2016
Chillingss,3200,7/4/2016
Chrisslabbert20,9050,7/4/2016
Czakobmx,16500,7/4/2016
helanie23,1600,7/4/2016
Jannel1984,6000,7/4/2016
jct22,1400,7/4/2016
league of galax,2350,7/4/2016
LoganManoj,9000,7/4/2016
Lord ShabZ,2280,7/4/2016
M-Adel,7200,7/4/2016
mumblebumble,8200,7/4/2016
RoyalC,2900,7/4/2016
Sarelo,3000,7/4/2016
The MsssA,3200,7/4/2016
The_Jachal,4700,7/4/2016
Tiny3001,0,7/4/2016
Viver21,12300,7/4/2016
worm1112,2400,7/4/2016
Zizzou22,1350,7/4/2016
Zativity,0,7/4/2016
DojoBreaker,0,7/4/2016
