Player,Score,Date,Featured
Blood Bullet,845,12/3/2016,Iron Patriot
Jannel1984,715,12/3/2016,Iron Patriot
The MsssA,650,12/3/2016,Iron Patriot
Blaizemeister,650,12/3/2016,Iron Patriot
Lord ShabZ,650,12/3/2016,Iron Patriot
Chillingss,650,12/3/2016,Iron Patriot
Chrisslabbert20,650,12/3/2016,Iron Patriot
Czakobmx,650,12/3/2016,Iron Patriot
mumblebumble,650,12/3/2016,Iron Patriot
LoganManoj,650,12/3/2016,Iron Patriot
The_Jachal,650,12/3/2016,Iron Patriot
Caesar Royale,600,12/3/2016,Iron Patriot
akash_512,590,12/3/2016,Iron Patriot
jct22,545,12/3/2016,Iron Patriot
Abdallah222,505,12/3/2016,Iron Patriot
Tiny3001,455,12/3/2016,Iron Patriot
Sarelo,360,12/3/2016,Iron Patriot
viver21,325,12/3/2016,Iron Patriot
Boody.ZX,325,12/3/2016,Iron Patriot
123Fu2,325,12/3/2016,Iron Patriot
league of galax,320,12/3/2016,Iron Patriot
sadud,65,12/3/2016,Iron Patriot
RoyalC,60,12/3/2016,Iron Patriot
M-Adel,40,12/3/2016,Iron Patriot
Mud ex,0,12/3/2016,Iron Patriot
Mouadh05,0,12/3/2016,Iron Patriot
helanie23,0,12/3/2016,Iron Patriot
Oungbuck,0,12/3/2016,Iron Patriot
worm1112,0,12/3/2016,Iron Patriot
Denise1,0,12/3/2016,Iron Patriot
Sarelo,715,28/3/2016,Guillotine
Blaizemeister,650,28/3/2016,Guillotine
mumblebumble,650,28/3/2016,Guillotine
Lord ShabZ,650,28/3/2016,Guillotine
Chrisslabbert20,650,28/3/2016,Guillotine
akash_512,650,28/3/2016,Guillotine
The_Jachal,650,28/3/2016,Guillotine
Abdallah222,650,28/3/2016,Guillotine
helanie23,650,28/3/2016,Guillotine
Caesar Royale,540,28/3/2016,Guillotine
Blood Bullet,390,28/3/2016,Guillotine
viver21,335,28/3/2016,Guillotine
worm1112,335,28/3/2016,Guillotine
Jannel1984,325,28/3/2016,Guillotine
Mud ex,300,28/3/2016,Guillotine
LoganManoj,265,28/3/2016,Guillotine
M-Adel,265,28/3/2016,Guillotine
Denise1,260,28/3/2016,Guillotine
Tiny3001,205,28/3/2016,Guillotine
jct22,170,28/3/2016,Guillotine
chintu007,130,28/3/2016,Guillotine
league of galax,60,28/3/2016,Guillotine
RoyalC,60,28/3/2016,Guillotine
THE CLOWN 44,0,28/3/2016,Guillotine
hellboy creed,0,28/3/2016,Guillotine
Zizzou22,0,28/3/2016,Guillotine
123Fu2,0,28/3/2016,Guillotine
LoganManoj,1430,4/4/2016,Deadpool X-Force
league of galax,1305,4/4/2016,Deadpool X-Force
The_Jachal,1300,4/4/2016,Deadpool X-Force
Lord ShabZ,1040,4/4/2016,Deadpool X-Force
viver21,915,4/4/2016,Deadpool X-Force
Blood Bullet,845,4/4/2016,Deadpool X-Force
jct22,835,4/4/2016,Deadpool X-Force
chintu007,780,4/4/2016,Deadpool X-Force
123Fu2,715,4/4/2016,Deadpool X-Force
RoyalC,690,4/4/2016,Deadpool X-Force
Jannel1984,650,4/4/2016,Deadpool X-Force
mumblebumble,650,4/4/2016,Deadpool X-Force
Chrisslabbert20,650,4/4/2016,Deadpool X-Force
Blaizemeister,650,4/4/2016,Deadpool X-Force
Czakobmx,650,4/4/2016,Deadpool X-Force
akash_512,650,4/4/2016,Deadpool X-Force
Sarelo,650,4/4/2016,Deadpool X-Force
Tiny3001,650,4/4/2016,Deadpool X-Force
helanie23,645,4/4/2016,Deadpool X-Force
Caesar Royale,600,4/4/2016,Deadpool X-Force
M-Adel,325,4/4/2016,Deadpool X-Force
Chillingss,325,4/4/2016,Deadpool X-Force
worm1112,325,4/4/2016,Deadpool X-Force
Abdallah222,325,4/4/2016,Deadpool X-Force
Zizzou22,195,4/4/2016,Deadpool X-Force
The MsssA,0,4/4/2016,Deadpool X-Force
