Player,Score,Date
Lord Shabz,11375,29/3/2016
Blaizemeister,7525,29/3/2016
helanie23,5475,29/3/2016
Jannel1984,4225,29/3/2016
akash_512,3725,29/3/2016
worm1112,3000,29/3/2016
mumblebumble,2950,29/3/2016
Mud ex,1950,29/3/2016
Chrisslabbert20,1750,29/3/2016
Blood Bullet,825,29/3/2016
viver21,750,29/3/2016
LoganManoj,675,29/3/2016
Tiny3001,500,29/3/2016
hellboy creed,375,29/3/2016
Sarelo,375,29/3/2016
RoyalC,300,29/3/2016
The MsssA,275,29/3/2016
jct22,275,29/3/2016
Abdallah222,175,29/3/2016
Denise1,150,29/3/2016
Chillingss,125,29/3/2016
The_Jachal,125,29/3/2016
THE CLOWN 44,0,29/3/2016
Zizzou22,0,29/3/2016
chintu007,0,29/3/2016
123Fu2,0,29/3/2016
M-Adel,0,29/3/2016
league of galax,0,29/3/2016
Czakobmx,0,29/3/2016
Caesar Royale,0,29/3/2016
