Player;Date;Round;BG;Map;Points
The_Jachal;16/03/2016;1;1;3;97377
jct22;16/03/2016;1;1;3;64162
Mouadh05;16/03/2016;1;1;3;43269
Blaizemeister;16/03/2016;1;1;3;38289
LoganManoj;16/03/2016;1;1;3;34208
sadud;16/03/2016;1;1;3;34108
RoyalC;16/03/2016;1;1;3;28408
Abdallah222;16/03/2016;1;1;3;20581
Denise1;16/03/2016;1;1;3;8585
Czakobmx;16/03/2016;1;2;3;136453
Chillingss;16/03/2016;1;2;3;97385
The MsssA;16/03/2016;1;2;3;80353
Sarelo;16/03/2016;1;2;3;72089
Caesar Royale;16/03/2016;1;2;3;51951
helanie23;16/03/2016;1;2;3;50387
Jannel1984;16/03/2016;1;2;3;39079
Chrisslabbert20;16/03/2016;1;2;3;32814
123Fu2;16/03/2016;1;2;3;29921
Lord Shabz;16/03/2016;1;2;3;11678
viver21;16/03/2016;1;3;3;67862
mumblebumble;16/03/2016;1;3;3;51716
M-Adel;16/03/2016;1;3;3;50401
Blood Bullet;16/03/2016;1;3;3;34020
akash_512;16/03/2016;1;3;3;29971
worm1112;16/03/2016;1;3;3;19860
league of galax;16/03/2016;1;3;3;9980
Mud ex;16/03/2016;1;3;3;9538
Tiny3001;16/03/2016;1;3;3;1704
jct22;17/03/2016;2;1;3;49157
The_Jachal;17/03/2016;2;1;3;43877
Blaizemeister;17/03/2016;2;1;3;29606
LoganManoj;17/03/2016;2;1;3;26332
M-Adel;17/03/2016;2;1;3;19336
Mud ex;17/03/2016;2;1;3;12114
RoyalC;17/03/2016;2;1;3;11611
sadud;17/03/2016;2;1;3;6673
Abdallah222;17/03/2016;2;1;3;4890
Caesar Royale;17/03/2016;2;2;3;91947
Chrisslabbert20;17/03/2016;2;2;3;43243
Chillingss;17/03/2016;2;2;3;36697
Sarelo;17/03/2016;2;2;3;31355
Jannel1984;17/03/2016;2;2;3;26392
Lord Shabz;17/03/2016;2;2;3;24911
helanie23;17/03/2016;2;2;3;24254
The MsssA;17/03/2016;2;2;3;17935
worm1112;17/03/2016;2;2;3;11557
123Fu2;17/03/2016;2;2;3;9794
Czakobmx;17/03/2016;2;3;3;63044
akash_512;17/03/2016;2;3;3;47507
league of galax;17/03/2016;2;3;3;35633
mumblebumble;17/03/2016;2;3;3;29655
Blood Bullet;17/03/2016;2;3;3;16515
Tiny3001;17/03/2016;2;3;3;489
LoganManoj;18/03/2016;3;1;2;64810
jct22;18/03/2016;3;1;2;32943
The_Jachal;18/03/2016;3;1;2;32596
RoyalC;18/03/2016;3;1;2;26481
Abdallah222;18/03/2016;3;1;2;26453
Blaizemeister;18/03/2016;3;1;2;26012
Mud ex;18/03/2016;3;1;2;14922
sadud;18/03/2016;3;1;2;7339
Denise1;18/03/2016;3;1;2;5828
Caesar Royale;18/03/2016;3;2;2;105907
Jannel1984;18/03/2016;3;2;2;59234
The MsssA;18/03/2016;3;2;2;53018
helanie23;18/03/2016;3;2;2;31477
Chrisslabbert20;18/03/2016;3;2;2;30692
Czakobmx;18/03/2016;3;2;2;26521
Sarelo;18/03/2016;3;2;2;22451
Chillingss;18/03/2016;3;2;2;19322
Lord Shabz;18/03/2016;3;2;2;13875
123Fu2;18/03/2016;3;2;2;0
akash_512;18/03/2016;3;3;2;73017
M-Adel;18/03/2016;3;3;2;36562
mumblebumble;18/03/2016;3;3;2;33807
viver21;18/03/2016;3;3;2;23714
