#,Name,Date,Points,,,,
1,Andrew neves,2/11/2016,"8,883",,,,
2,Jim Logan 81,2/11/2016,"8,537",,,,
3,NetEskimo,2/11/2016,"8,389",,,,
4,LoganManoj,2/11/2016,"7,556",,,,
5,jct22,2/11/2016,"5,821",,,,
6,caribbeancrush2,2/11/2016,"5,669",,,,
7,Lord ShabZ,2/11/2016,"5,322",,,,
8,Valturuk,2/11/2016,"5,087",,,,
9,viver21,2/11/2016,"4,817",,,,
10,Chrisslabbert20,2/11/2016,"3,956",,,,
11,RoyalC,2/11/2016,"3,510",,,,
12,Chillingss,2/11/2016,"3,501",,,,
13,JaY XarXes,2/11/2016,"3,239",,,,
14,Denise1,2/11/2016,"2,744",,,,
15,smartian,2/11/2016,"2,661",,,,
16,hellboy creed,2/11/2016,"2,379",,,,
17,league of galax,2/11/2016,"2,273",,,,
18,Roman-D,2/11/2016,"2,089",,,,
19,The MsssA,2/11/2016,"1,888",,,,
20,M-Adel,2/11/2016,"1,510",,,,
21,Czakobmx,2/11/2016,"1,305",,,,
22,akash_512,2/11/2016,805,,,,
23,worm1112,2/11/2016,720,,,,
24,Blaizemeister,2/11/2016,521,,,,
25,Caesar Royale,2/11/2016,470,,,,
26,Dr Mindbubble,2/11/2016,435,,,,
27,The_Jachal,2/11/2016,25,,,,
28,crazy engineer,2/11/2016,0,,,,
29,JØHN AND JØSH,2/11/2016,0,,,,
30,mumblebumble,2/11/2016,0,,,,
